game,hand_index,agent_0,agent_1,event_type,caller,caller_id,caller_agent,opponent,opponent_agent,action,round_number,truco_level_before,envido_level_before,envido_total_before,envido_total_previous,caller_envido_points,opponent_envido_points,envido_points_diff,caller_weaker_envido,envido_winner,caller_hand,opponent_hand,caller_best_strength,caller_avg_strength,caller_top2_strength,opponent_best_strength,opponent_avg_strength,opponent_top2_strength,strength_diff_avg,caller_weaker_hand,response_action,response_type,responder,responder_agent,points_before_j0,points_before_j1,points_after_j0,points_after_j1,delta_j0,delta_j1,caller_points_delta,hand_winner,caller_won_hand
409,5,random,rational,envido,J0,0,random,J1,rational,ENVIDO_ENVIDO,1,,1,2,0,4,30,-26,1,J1,4-3|10-1|4-0,6-2|6-0|4-2,,,,,,,,,QUIERO,accept,J1,rational,2,6,2,10,0,4,0,,
409,5,random,rational,truco,J0,0,random,J1,rational,TRUCO,1,0,,,,,,,,,4-3|10-1|4-0,6-0|4-2,5.0,2.3333333333333335,6.0,3.0,2.0,4.0,0.3333333333333335,0,NO_QUIERO,decline,J1,rational,2,10,3,10,1,0,1,J0,1
409,6,random,rational,envido,J0,0,random,J1,rational,FALTA_ENVIDO,1,,0,0,0,7,31,-24,1,J1,4-0|12-2|7-3,7-1|5-2|6-2,,,,,,,,,QUIERO,accept,J1,rational,3,10,3,30,0,20,0,,
410,2,random,rational,truco,J1,1,rational,J0,random,TRUCO,2,0,,,,,,,,,4-2|1-0,7-1|5-3,14.0,7.5,15.0,4.0,3.0,6.0,4.5,0,RETRUCO,raise,J0,random,0,1,0,4,0,3,3,J1,1
410,2,random,rational,truco,J0,0,random,J1,rational,RETRUCO,2,0,,,,,,,,,7-1|5-3,4-2|1-0,4.0,3.0,6.0,14.0,7.5,15.0,-4.5,1,QUIERO,accept,J1,rational,0,1,0,4,0,3,0,J1,0
410,3,random,rational,truco,J0,0,random,J1,rational,TRUCO,3,0,,,,,,,,,7-3,12-1,4.0,4.0,4.0,7.0,7.0,7.0,-3.0,1,QUIERO,accept,J1,rational,0,4,0,6,0,2,0,J1,0
410,4,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,3-0|5-3,12-0,10.0,6.0,12.0,7.0,7.0,7.0,-1.0,1,QUIERO,accept,J1,rational,0,6,0,8,0,2,0,J1,0
410,5,random,rational,envido,J0,0,random,J1,rational,REAL_ENVIDO,1,,0,0,0,5,21,-16,1,J0,2-3|10-2|5-0,1-1|12-0,,,,,,,,,NO_QUIERO,decline,J1,rational,0,8,1,8,1,0,1,,
410,5,random,rational,truco,J1,1,rational,J0,random,TRUCO,2,0,,,,,,,,,1-1|12-0,2-3|5-0,13.0,10.0,20.0,9.0,5.5,11.0,4.5,0,QUIERO,accept,J0,random,1,8,1,10,0,2,2,J1,1
410,6,random,rational,truco,J0,0,random,J1,rational,TRUCO,2,0,,,,,,,,,12-0|11-2,2-1|3-2,7.0,6.5,13.0,10.0,9.5,19.0,-3.0,1,QUIERO,accept,J1,rational,1,10,1,12,0,2,0,J1,0
